seed	variant_score	baseline_score	delta_variant_minus_baseline
1222	209.023070790783	209.023070790783	+0.000000000000
1221	154.671457491908	154.671457491908	+0.000000000000
1220	185.553383548573	185.553383548573	+0.000000000000
1219	67.640429127060	67.640429127060	+0.000000000000
1217	47.366241170631	47.366241170631	+0.000000000000
1206	102.609197474083	102.609197474083	+0.000000000000
1203	159.951400464062	159.951400464062	+0.000000000000
1202	55.456467503414	55.456467503414	+0.000000000000
1194	298.147027253371	298.147027253371	+0.000000000000
1191	113.267859483924	113.267859483924	+0.000000000000
1183	81.005276477163	81.005276477163	+0.000000000000
1179	49.646914202350	49.646914202350	+0.000000000000
1170	52.895225609040	52.895225609040	+0.000000000000
1169	57.528540902080	57.528540902080	+0.000000000000
1156	44.900825300118	44.900825300118	+0.000000000000
1155	155.007998172113	155.007998172113	+0.000000000000
1142	215.438014354386	215.438014354386	+0.000000000000
1133	325.750123260563	325.750123260563	+0.000000000000
1126	158.511436509801	158.511436509801	+0.000000000000
1124	113.645271073663	113.645271073663	+0.000000000000
1123	95.024593074065	95.024593074065	+0.000000000000
1119	84.445929470051	84.445929470051	+0.000000000000
1118	174.598398766835	174.598398766835	+0.000000000000
1117	253.519302286053	253.519302286053	+0.000000000000
1115	218.960021131421	218.960021131421	+0.000000000000
1100	98.478055256297	98.478055256297	+0.000000000000
1099	157.878145419469	157.878145419469	+0.000000000000
1095	48.064897866784	48.064897866784	+0.000000000000
1094	136.456889955124	136.456889955124	+0.000000000000
1091	161.531316284477	161.531316284477	+0.000000000000
1085	78.257150846587	78.257150846587	+0.000000000000
1081	348.469834967811	348.469834967811	+0.000000000000
1078	19.835941037124	19.835941037124	+0.000000000000
1067	32.414162778580	32.414162778580	+0.000000000000
1061	211.805855684955	211.805855684955	+0.000000000000
1057	88.244789292464	88.244789292464	+0.000000000000
1056	262.898067299679	262.898067299679	+0.000000000000
1054	282.011716547002	282.011716547002	+0.000000000000
1053	93.358286629648	93.358286629648	+0.000000000000
1048	326.179665545957	326.179665545957	+0.000000000000
1040	226.803382093134	226.803382093134	+0.000000000000
1037	392.434997187580	392.434997187580	+0.000000000000
1035	74.846460501114	74.846460501114	+0.000000000000
1033	66.965805010054	66.965805010054	+0.000000000000
1027	113.569257352150	113.569257352150	+0.000000000000
1026	235.052657500344	235.052657500344	+0.000000000000
1023	319.177490278957	319.177490278957	+0.000000000000
1019	322.281718159748	322.281718159748	+0.000000000000
1015	59.350041493548	59.350041493548	+0.000000000000
1014	296.291319349188	296.291319349188	+0.000000000000
1009	197.561880745062	197.561880745062	+0.000000000000
1008	83.353581235469	83.353581235469	+0.000000000000
1000	412.456540502826	412.456540502826	+0.000000000000
997	169.924367202835	169.924367202835	+0.000000000000
995	55.715060618220	55.715060618220	+0.000000000000
993	35.362156234905	35.362156234905	+0.000000000000
992	217.450543791833	217.450543791833	+0.000000000000
991	323.584678773781	323.584678773781	+0.000000000000
984	127.285123289259	127.285123289259	+0.000000000000
981	146.874775898664	146.874775898664	+0.000000000000
980	110.883715801393	110.883715801393	+0.000000000000
978	56.569063343815	56.569063343815	+0.000000000000
973	33.811029764957	33.811029764957	+0.000000000000
971	44.282347588323	44.282347588323	+0.000000000000
969	241.909036182509	241.909036182509	+0.000000000000
966	100.220478718863	100.220478718863	+0.000000000000
964	128.383267331422	128.383267331422	+0.000000000000
963	102.823926514875	102.823926514875	+0.000000000000
962	267.771098486985	267.771098486985	+0.000000000000
957	203.936083087491	203.936083087491	+0.000000000000
956	62.014148667675	62.014148667675	+0.000000000000
953	64.067551320971	64.067551320971	+0.000000000000
952	394.294240157425	394.294240157425	+0.000000000000
951	268.023808476555	268.023808476555	+0.000000000000
946	102.190356128532	102.190356128532	+0.000000000000
935	86.835698494476	86.835698494476	+0.000000000000
934	112.352055905222	112.352055905222	+0.000000000000
930	230.234337860388	230.234337860388	+0.000000000000
918	231.205826374458	231.205826374458	+0.000000000000
917	40.604142118869	40.604142118869	+0.000000000000
916	325.630282718509	325.630282718509	+0.000000000000
